"Anio","Cve_estado","Estado","Tipo_delito","Casos"
"2019",2,"Baja California","Fraude",1856
"2019",2,"Baja California","Homicidio",3065
"2019",2,"Baja California","Hostigamiento sexual",140
"2019",2,"Baja California","Incesto",3
"2019",2,"Baja California","Incumplimiento de obligaciones de asistencia familiar",1086
"2019",2,"Baja California","Lesiones",8889
"2019",2,"Baja California","Narcomenudeo",10307
"2019",2,"Baja California","Otros delitos contra el patrimonio",1052
"2019",2,"Baja California","Otros delitos contra la familia",461
"2019",2,"Baja California","Otros delitos contra la sociedad",36
"2019",2,"Baja California","Otros delitos del Fuero Comun",5774
"2019",2,"Baja California","Otros delitos que atentan contra la libertad personal",677
"2019",2,"Baja California","Otros delitos que atentan contra la libertad y la seguridad sexual",264
"2019",2,"Baja California","Otros delitos que atentan contra la vida y la integridad corporal",1290
"2019",2,"Baja California","Rapto",0
"2019",2,"Baja California","Robo",37180
"2019",2,"Baja California","Secuestro",10
"2019",2,"Baja California","Trafico de menores",1
"2019",2,"Baja California","Trata de personas",19
"2019",2,"Baja California","Violacion equiparada",336
"2019",2,"Baja California","Violacion simple",645
"2019",2,"Baja California","Violencia de genero en todas sus modalidades distinta a la violencia familiar",0
"2019",2,"Baja California","Violencia familiar",10455
"2020",2,"Baja California","Aborto",39
"2020",2,"Baja California","Abuso de confianza",475
"2020",2,"Baja California","Abuso sexual",1268
"2020",2,"Baja California","Acoso sexual",0
"2020",2,"Baja California","Allanamiento de morada",2250
"2020",2,"Baja California","Amenazas",4099
"2020",2,"Baja California","Contra el medio ambiente",26
